[('4', '-10')] => [('6', '-11')] : 0.37
[('5', '-15')] => [('5', '-14')] : 0.36
[('7', '-10')] => [('6', '-11')] : 0.58
[('9', '-10')] => [('7', '-12')] : 0.38
[('8', '-11')] => [('7', '-14')] : 0.31
[('2', '-8')] => [('2', '-6')] : 0.43
[('5', '-11')] => [('7', '-9')] : 0.29
[('8', '-9')] => [('8', '-8')] : 0.5
[('4', '-17')] => [('3', '-16')] : 0.41
[('4', '-10')] => [('4', '-9')] : 0.45
[('6', '-10')] => [('7', '-8')] : 0.27
[('8', '-9')] => [('7', '-10')] : 0.45
[('2', '-12')] => [('2', '-9')] : 0.42
[('6', '-14')] => [('6', '-15')] : 0.45
[('4', '-14')] => [('4', '-15')] : 0.36
[('2', '-4')] => [('3', '-9')] : 0.42
[('2', '-6')] => [('3', '-10')] : 0.34
[('5', '-10')] => [('4', '-9')] : 0.37
[('5', '-14')] => [('6', '-13')] : 0.35
[('7', '-11')] => [('6', '-13')] : 0.38
[('9', '-11')] => [('6', '-14')] : 0.38
[('4', '-11')] => [('3', '-11')] : 0.39
[('6', '-10')] => [('5', '-10')] : 0.35
[('2', '-4')] => [('3', '-11')] : 0.31
[('3', '-18')] => [('4', '-19')] : 0.58
[('7', '-8')] => [('8', '-6')] : 0.27
[('4', '-14')] => [('4', '-13')] : 0.5
[('8', '-10')] => [('9', '-8')] : 0.27
[('4', '-15')] => [('4', '-16')] : 0.47
[('9', '-6')] => [('8', '-7')] : 0.5
[('7', '-12')] => [('6', '-12')] : 0.28
[('4', '-12')] => [('5', '-12')] : 0.36
[('3', '-10')] => [('2', '-7')] : 0.35
[('8', '-10')] => [('6', '-13')] : 0.35
[('9', '-7')] => [('9', '-6')] : 0.53
[('5', '-18')] => [('6', '-17')] : 0.26
[('4', '-10')] => [('3', '-9')] : 0.66
[('5', '-13')] => [('4', '-13')] : 0.38
[('3', '-13')] => [('3', '-14')] : 0.53
[('3', '-11')] => [('2', '-9')] : 0.46
[('3', '-8')] => [('3', '-7')] : 0.7
[('3', '-14')] => [('2', '-12')] : 0.47
[('5', '-18')] => [('6', '-18')] : 0.36
[('2', '-14')] => [('2', '-12')] : 0.72
[('2', '-11')] => [('2', '-10')] : 0.84
[('6', '-13')] => [('7', '-13')] : 0.51
[('4', '-8')] => [('3', '-7')] : 0.51
[('4', '-17')] => [('5', '-16')] : 0.29
[('9', '-11')] => [('7', '-13')] : 0.54
[('8', '-13')] => [('5', '-15')] : 0.36
[('8', '-14')] => [('8', '-13')] : 0.57
[('6', '-11')] => [('7', '-10')] : 0.42
[('6', '-9')] => [('5', '-9')] : 0.28
[('5', '-10')] => [('7', '-10')] : 0.33
[('3', '-11')] => [('3', '-12')] : 0.64
[('3', '-12')] => [('3', '-14')] : 0.26
[('7', '-7')] => [('3', '-7')] : 0.27
[('4', '-12')] => [('5', '-14')] : 0.26
[('4', '-13')] => [('6', '-13')] : 0.29
[('4', '-13')] => [('6', '-14')] : 0.27
[('3', '-10')] => [('4', '-12')] : 0.41
[('3', '-11')] => [('3', '-10')] : 0.72
[('6', '-9')] => [('7', '-8')] : 0.39
[('3', '-10')] => [('4', '-11')] : 0.33
[('8', '-13')] => [('9', '-11')] : 0.39
[('5', '-17')] => [('4', '-17')] : 0.34
[('9', '-12')] => [('6', '-15')] : 0.62
[('8', '-12')] => [('3', '-11')] : 0.26
[('3', '-8')] => [('3', '-6')] : 0.41
[('8', '-9')] => [('8', '-10')] : 0.48
[('4', '-12')] => [('3', '-9')] : 0.34
[('2', '-15')] => [('2', '-12')] : 0.49
[('7', '-13')] => [('6', '-14')] : 0.57
[('3', '-16')] => [('2', '-16')] : 0.29
[('7', '-12')] => [('7', '-13')] : 0.62
[('7', '-15')] => [('8', '-12')] : 0.29
[('2', '-16')] => [('2', '-15')] : 0.52
[('4', '-9')] => [('5', '-10')] : 0.44
[('4', '-11')] => [('3', '-9')] : 0.46
[('8', '-14')] => [('7', '-14')] : 0.58
[('2', '-4')] => [('3', '-8')] : 0.48
[('3', '-8')] => [('3', '-11')] : 0.27
[('3', '-11')] => [('2', '-8')] : 0.36
[('7', '-6')] => [('7', '-5')] : 0.56
[('7', '-12')] => [('5', '-14')] : 0.26
[('4', '-16')] => [('5', '-16')] : 0.49
[('3', '-5')] => [('3', '-7')] : 0.51
[('4', '-13')] => [('5', '-14')] : 0.4
[('5', '-10')] => [('7', '-9')] : 0.28
[('8', '-8')] => [('7', '-13')] : 0.36
[('8', '-10')] => [('8', '-11')] : 0.59
[('7', '-11')] => [('6', '-14')] : 0.3
[('6', '-16')] => [('5', '-16')] : 0.58
[('8', '-12')] => [('6', '-14')] : 0.42
[('3', '-9')] => [('2', '-7')] : 0.48
[('2', '-7')] => [('3', '-9')] : 0.46
[('8', '-6')] => [('7', '-8')] : 0.57
[('6', '-13')] => [('7', '-11')] : 0.34
