[('6', '-9')] => [('6', '-10')] : 0.6
[('7', '-10')] => [('6', '-11')] : 0.58
[('2', '-8')] => [('2', '-6')] : 0.43
[('4', '-12')] => [('3', '-11')] : 0.6
[('5', '-16')] => [('5', '-15')] : 0.48
[('4', '-12')] => [('3', '-12')] : 0.47
[('3', '-10')] => [('3', '-8')] : 0.33
[('3', '-8')] => [('3', '-9')] : 0.71
[('6', '-13')] => [('7', '-12')] : 0.58
[('7', '-14')] => [('7', '-15')] : 0.4
[('3', '-11')] => [('2', '-10')] : 0.43
[('3', '-10')] => [('4', '-12')] : 0.4
[('3', '-10')] => [('3', '-12')] : 0.45
[('2', '-8')] => [('2', '-7')] : 0.72
[('3', '-9')] => [('2', '-8')] : 0.4
[('5', '-11')] => [('5', '-10')] : 0.42
[('3', '-8')] => [('2', '-5')] : 0.45
[('4', '-13')] => [('4', '-14')] : 0.47
[('7', '-11')] => [('7', '-10')] : 0.42
[('5', '-14')] => [('6', '-13')] : 0.35
[('7', '-11')] => [('6', '-13')] : 0.39
[('3', '-11')] => [('2', '-9')] : 0.45
[('4', '-12')] => [('4', '-13')] : 0.51
[('6', '-13')] => [('8', '-11')] : 0.38
[('6', '-13')] => [('6', '-12')] : 0.39
[('7', '-15')] => [('7', '-14')] : 0.58
[('7', '-11')] => [('8', '-10')] : 0.41
[('7', '-15')] => [('6', '-15')] : 0.64
[('8', '-12')] => [('7', '-14')] : 0.49
[('6', '-16')] => [('6', '-15')] : 0.54
[('4', '-14')] => [('4', '-13')] : 0.5
[('3', '-12')] => [('3', '-13')] : 0.52
[('2', '-9')] => [('3', '-10')] : 0.46
[('3', '-9')] => [('3', '-8')] : 0.57
[('3', '-11')] => [('2', '-8')] : 0.36
[('2', '-10')] => [('2', '-9')] : 0.67
[('4', '-11')] => [('3', '-10')] : 0.52
[('2', '-6')] => [('2', '-8')] : 0.44
[('2', '-5')] => [('2', '-7')] : 0.54
[('4', '-18')] => [('4', '-19')] : 0.56
[('4', '-10')] => [('3', '-9')] : 0.67
[('2', '-10')] => [('3', '-12')] : 0.56
[('2', '-9')] => [('3', '-11')] : 0.49
[('4', '-13')] => [('4', '-12')] : 0.52
[('4', '-13')] => [('3', '-12')] : 0.48
[('3', '-7')] => [('3', '-6')] : 0.64
[('5', '-10')] => [('5', '-11')] : 0.59
[('7', '-12')] => [('7', '-11')] : 0.51
[('2', '-5')] => [('2', '-6')] : 0.82
[('5', '-16')] => [('6', '-15')] : 0.43
[('2', '-9')] => [('2', '-11')] : 0.4
[('3', '-9')] => [('3', '-11')] : 0.41
[('6', '-14')] => [('6', '-13')] : 0.42
[('5', '-15')] => [('5', '-16')] : 0.42
[('3', '-11')] => [('3', '-13')] : 0.31
[('2', '-11')] => [('2', '-10')] : 0.85
[('2', '-7')] => [('2', '-9')] : 0.49
[('2', '-5')] => [('3', '-7')] : 0.42
[('6', '-13')] => [('7', '-13')] : 0.52
[('3', '-7')] => [('2', '-6')] : 0.56
[('6', '-11')] => [('7', '-10')] : 0.42
[('3', '-9')] => [('4', '-10')] : 0.4
[('7', '-12')] => [('8', '-10')] : 0.33
[('2', '-7')] => [('2', '-5')] : 0.45
[('2', '-9')] => [('2', '-10')] : 0.61
[('8', '-11')] => [('8', '-10')] : 0.51
[('6', '-11')] => [('6', '-10')] : 0.43
[('3', '-11')] => [('3', '-12')] : 0.64
[('2', '-6')] => [('2', '-5')] : 0.69
[('7', '-12')] => [('6', '-13')] : 0.54
[('6', '-14')] => [('5', '-14')] : 0.4
[('6', '-13')] => [('5', '-13')] : 0.35
[('6', '-13')] => [('6', '-14')] : 0.49
[('6', '-13')] => [('5', '-14')] : 0.34
[('3', '-11')] => [('3', '-10')] : 0.72
[('3', '-10')] => [('4', '-11')] : 0.33
[('7', '-13')] => [('8', '-11')] : 0.37
[('3', '-12')] => [('2', '-9')] : 0.41
[('7', '-13')] => [('6', '-15')] : 0.38
[('3', '-9')] => [('3', '-10')] : 0.69
[('6', '-12')] => [('6', '-11')] : 0.48
[('8', '-12')] => [('7', '-13')] : 0.69
[('6', '-10')] => [('6', '-9')] : 0.51
[('8', '-10')] => [('7', '-12')] : 0.54
[('5', '-17')] => [('5', '-16')] : 0.43
[('2', '-11')] => [('2', '-9')] : 0.56
[('6', '-14')] => [('6', '-15')] : 0.44
[('3', '-16')] => [('4', '-16')] : 0.39
[('7', '-12')] => [('7', '-13')] : 0.61
[('3', '-8')] => [('3', '-10')] : 0.48
[('5', '-12')] => [('6', '-11')] : 0.42
[('5', '-14')] => [('7', '-13')] : 0.37
[('3', '-10')] => [('2', '-7')] : 0.35
[('3', '-8')] => [('3', '-7')] : 0.7
[('5', '-11')] => [('5', '-12')] : 0.5
[('5', '-15')] => [('6', '-15')] : 0.63
[('5', '-15')] => [('7', '-14')] : 0.32
[('7', '-13')] => [('5', '-14')] : 0.31
[('4', '-11')] => [('4', '-12')] : 0.49
[('2', '-5')] => [('3', '-8')] : 0.43
[('3', '-10')] => [('3', '-9')] : 0.58
[('3', '-11')] => [('4', '-13')] : 0.38
[('3', '-13')] => [('2', '-11')] : 0.53
[('3', '-16')] => [('3', '-17')] : 0.49
[('2', '-10')] => [('2', '-11')] : 0.66
[('3', '-14')] => [('3', '-13')] : 0.8
[('8', '-10')] => [('8', '-11')] : 0.59
[('7', '-13')] => [('8', '-12')] : 0.44
[('6', '-16')] => [('5', '-16')] : 0.58
[('3', '-12')] => [('4', '-12')] : 0.4
[('7', '-9')] => [('7', '-10')] : 0.56
[('8', '-13')] => [('8', '-12')] : 0.59
[('7', '-14')] => [('8', '-13')] : 0.46
[('3', '-9')] => [('2', '-7')] : 0.48
[('4', '-16')] => [('5', '-16')] : 0.48
[('4', '-12')] => [('4', '-11')] : 0.42
[('2', '-11')] => [('3', '-13')] : 0.47
[('2', '-10')] => [('2', '-8')] : 0.43
