[('4', '-10')] => [('6', '-11')] : 0.5
[('5', '-15')] => [('5', '-14')] : 0.33
[('7', '-10')] => [('6', '-11')] : 0.69
[('8', '-11')] => [('7', '-14')] : 0.4
[('2', '-8')] => [('2', '-6')] : 0.38
[('5', '-11')] => [('7', '-9')] : 0.41
[('4', '-14')] => [('7', '-15')] : 0.38
[('8', '-9')] => [('8', '-8')] : 0.43
[('5', '-17')] => [('7', '-14')] : 0.33
[('9', '-4')] => [('6', '-11')] : 0.6
[('6', '-10')] => [('7', '-8')] : 0.36
[('8', '-9')] => [('7', '-10')] : 0.57
[('6', '-14')] => [('6', '-15')] : 0.32
[('4', '-14')] => [('4', '-15')] : 0.38
[('2', '-4')] => [('3', '-9')] : 0.54
[('2', '-6')] => [('3', '-10')] : 0.33
[('5', '-10')] => [('4', '-9')] : 0.67
[('5', '-14')] => [('6', '-13')] : 0.29
[('7', '-11')] => [('6', '-13')] : 0.32
[('9', '-11')] => [('6', '-14')] : 0.5
[('4', '-11')] => [('3', '-11')] : 0.5
[('6', '-13')] => [('4', '-13')] : 0.35
[('3', '-18')] => [('4', '-19')] : 0.86
[('7', '-9')] => [('7', '-7')] : 0.38
[('4', '-14')] => [('4', '-13')] : 0.62
[('8', '-10')] => [('9', '-8')] : 0.46
[('4', '-15')] => [('4', '-16')] : 0.63
[('7', '-12')] => [('5', '-13')] : 0.25
[('4', '-12')] => [('5', '-12')] : 0.44
[('3', '-11')] => [('2', '-7')] : 0.32
[('9', '-7')] => [('9', '-6')] : 0.63
[('4', '-10')] => [('3', '-9')] : 0.7
[('5', '-13')] => [('4', '-13')] : 0.36
[('5', '-17')] => [('7', '-15')] : 0.47
[('3', '-13')] => [('3', '-14')] : 0.5
[('8', '-11')] => [('3', '-9')] : 0.4
[('3', '-8')] => [('3', '-7')] : 0.65
[('2', '-5')] => [('2', '-6')] : 0.84
[('2', '-11')] => [('2', '-10')] : 0.77
[('6', '-13')] => [('7', '-13')] : 0.76
[('4', '-8')] => [('3', '-7')] : 0.5
[('4', '-8')] => [('3', '-8')] : 0.5
[('9', '-11')] => [('7', '-13')] : 0.58
[('5', '-8')] => [('6', '-8')] : 0.6
[('8', '-14')] => [('8', '-13')] : 0.75
[('5', '-10')] => [('7', '-10')] : 0.56
